sa3_code,sa3_name,is_metro,pop_65plus,pop_85plus,pct_85plus_of_65plus,chsp_recipients,residential_total,home_per_100_65plus,resid_per_100_65plus,resid_per_100_85plus,low_base
10102,Queanbeyan,False,9399.0,896.0,9.53,1046.0,271.0,11.13,2.88,30.25,False
10103,Snowy Mountains,False,4432.0,519.0,11.71,669.0,74.0,15.09,1.67,14.26,False
10104,South Coast,False,25219.0,2627.0,10.42,3753.0,914.0,14.88,3.62,34.79,False
10105,Goulburn - Mulwaree,False,8766.0,1046.0,11.93,1442.0,390.0,16.45,4.45,37.28,False
10106,Young - Yass,False,8351.0,946.0,11.33,1636.0,338.0,19.59,4.05,35.73,False
10201,Gosford,True,42508.0,5751.0,13.53,6887.0,1770.0,16.2,4.16,30.78,False
10202,Wyong,True,37172.0,4741.0,12.75,6788.0,1778.0,18.26,4.78,37.5,False
10301,Bathurst,False,9921.0,1228.0,12.38,1766.0,548.0,17.8,5.52,44.63,False
10302,Lachlan Valley,False,13079.0,1708.0,13.06,3738.0,536.0,28.58,4.1,31.38,False
10303,Lithgow - Mudgee,False,11224.0,1241.0,11.06,2212.0,361.0,19.71,3.22,29.09,False
10304,Orange,False,11827.0,1433.0,12.12,2274.0,607.0,19.23,5.13,42.36,False
10401,Clarence Valley,False,15712.0,1885.0,12.0,3250.0,624.0,20.68,3.97,33.1,False
10402,Coffs Harbour,False,23082.0,2879.0,12.47,5008.0,881.0,21.7,3.82,30.6,False
10501,Bourke - Cobar - Coonamble,False,4452.0,543.0,12.2,943.0,79.0,21.18,1.77,14.55,False
10502,Broken Hill and Far West,False,4641.0,600.0,12.93,902.0,180.0,19.44,3.88,30.0,False
10503,Dubbo,False,14933.0,1941.0,13.0,3179.0,752.0,21.29,5.04,38.74,False
10601,Lower Hunter,False,18048.0,1715.0,9.5,2936.0,651.0,16.27,3.61,37.96,False
10602,Maitland,False,14808.0,1671.0,11.28,2830.0,652.0,19.11,4.4,39.02,False
10603,Port Stephens,False,22569.0,2461.0,10.9,3481.0,602.0,15.42,2.67,24.46,False
10604,Upper Hunter,False,5830.0,719.0,12.33,1233.0,212.0,21.15,3.64,29.49,False
10701,Dapto - Port Kembla,False,15798.0,2228.0,14.1,2967.0,808.0,18.78,5.11,36.27,False
10702,Illawarra Catchment Reserve,False,0.0,0.0,,28.0,0.0,inf,,,True
10703,Kiama - Shellharbour,False,21893.0,2540.0,11.6,3421.0,782.0,15.63,3.57,30.79,False
10704,Wollongong,False,25158.0,3651.0,14.51,4059.0,1013.0,16.13,4.03,27.75,False
10801,Great Lakes,False,12395.0,1533.0,12.37,1888.0,560.0,15.23,4.52,36.53,False
10802,Kempsey - Nambucca,False,15069.0,1563.0,10.37,2729.0,699.0,18.11,4.64,44.72,False
10803,Lord Howe Island,False,97.0,6.0,6.19,0.0,0.0,0.0,0.0,0.0,True
10804,Port Macquarie,False,26813.0,3550.0,13.24,5133.0,1234.0,19.14,4.6,34.76,False
10805,Taree - Gloucester,False,18169.0,2048.0,11.27,2969.0,612.0,16.34,3.37,29.88,False
10901,Albury,False,14292.0,1679.0,11.75,2706.0,691.0,18.93,4.83,41.16,False
10902,Lower Murray,False,3013.0,337.0,11.18,793.0,100.0,26.32,3.32,29.67,False
10903,Upper Murray exc. Albury,False,13489.0,1604.0,11.89,2577.0,434.0,19.1,3.22,27.06,False
11001,Armidale,False,7798.0,965.0,12.37,1681.0,295.0,21.56,3.78,30.57,False
11002,Inverell - Tenterfield,False,10886.0,1250.0,11.48,2683.0,388.0,24.65,3.56,31.04,False
11003,Moree - Narrabri,False,4615.0,524.0,11.35,844.0,156.0,18.29,3.38,29.77,False
11004,Tamworth - Gunnedah,False,17858.0,2339.0,13.1,4001.0,757.0,22.4,4.24,32.36,False
11101,Lake Macquarie - East,False,28081.0,3788.0,13.49,5042.0,1092.0,17.96,3.89,28.83,False
11102,Lake Macquarie - West,False,20111.0,2542.0,12.64,3491.0,1115.0,17.36,5.54,43.86,False
11103,Newcastle,False,31958.0,4348.0,13.61,5421.0,1991.0,16.96,6.23,45.79,False
11201,Richmond Valley - Coastal,False,21921.0,2621.0,11.96,3944.0,872.0,17.99,3.98,33.27,False
11202,Richmond Valley - Hinterland,False,16704.0,1874.0,11.22,3321.0,597.0,19.88,3.57,31.86,False
11203,Tweed Valley,False,26951.0,3888.0,14.43,4879.0,1245.0,18.1,4.62,32.02,False
11301,Griffith - Murrumbidgee (West),False,9103.0,1299.0,14.27,1871.0,499.0,20.55,5.48,38.41,False
11302,Tumut - Tumbarumba,False,3676.0,393.0,10.69,747.0,95.0,20.32,2.58,24.17,False
11303,Wagga Wagga,False,20093.0,2703.0,13.45,3807.0,915.0,18.95,4.55,33.85,False
11401,Shoalhaven,False,31663.0,3656.0,11.55,5337.0,1180.0,16.86,3.73,32.28,False
11402,Southern Highlands,False,15109.0,1864.0,12.34,1859.0,626.0,12.3,4.14,33.58,False
11501,Baulkham Hills,True,29062.0,3873.0,13.33,4389.0,1818.0,15.1,6.26,46.94,False
11502,Dural - Wisemans Ferry,True,6028.0,838.0,13.9,445.0,358.0,7.38,5.94,42.72,False
11503,Hawkesbury,True,4445.0,369.0,8.3,456.0,34.0,10.26,0.76,9.21,False
11504,Rouse Hill - McGraths Hill,True,6775.0,602.0,8.89,661.0,113.0,9.76,1.67,18.77,False
11601,Blacktown,True,20969.0,2326.0,11.09,3698.0,794.0,17.64,3.79,34.14,False
11602,Blacktown - North,True,13047.0,1075.0,8.24,1948.0,373.0,14.93,2.86,34.7,False
11603,Mount Druitt,True,14627.0,1422.0,9.72,2573.0,752.0,17.59,5.14,52.88,False
11701,Botany,True,7479.0,994.0,13.29,1252.0,156.0,16.74,2.09,15.69,False
11702,Marrickville - Sydenham - Petersham,True,7042.0,1019.0,14.47,976.0,303.0,13.86,4.3,29.74,False
11703,Sydney Inner City,True,22052.0,2565.0,11.63,2930.0,673.0,13.29,3.05,26.24,False
11801,Eastern Suburbs - North,True,20799.0,3389.0,16.29,2510.0,934.0,12.07,4.49,27.56,False
11802,Eastern Suburbs - South,True,20797.0,3238.0,15.57,3432.0,1059.0,16.5,5.09,32.71,False
11901,Bankstown,True,29160.0,4027.0,13.81,3717.0,1659.0,12.75,5.69,41.2,False
